cust_id,status,E Mail,respond_to_discount,total_spent,total_discount_received,no_of_transactions,days_till_last_interaction,years_of_stay,age_binned_Children,age_binned_Younger_Age,age_binned_Middle_Age,age_binned_Old_age,Gender_F,Gender_M,Region_Midwest,Region_Northeast,Region_South,Region_West,cluster
4,complete,reggie.doughty@gmail.com,1,27394.19,3406.01,41,93,11,0,0,1,0,0,1,1,0,0,0,0
28,complete,reinaldo.drain@yahoo.com,1,3971.3,500,11,224,14,0,0,0,1,0,1,0,0,0,1,1
44,complete,kendall.ro@gmail.com,1,10711.079,1548.421,9,176,10,0,0,1,0,1,0,0,0,1,0,3
47,complete,jessie.schock@bp.com,1,18548.33,4956.97,32,158,8,0,0,1,0,0,1,0,1,0,0,3
71,complete,deetta.tucci@exxonmobil.com,1,10151.17601,1880.82399,56,106,11,0,0,0,1,1,0,1,0,0,0,3
79,complete,eleanora.winebarger@gmail.com,1,4821.39,715.71,4,374,10,0,1,0,0,1,0,1,0,0,0,1
85,complete,lissette.tims@earthlink.net,1,5636.5,1240,6,419,21,0,0,1,0,1,0,0,1,0,0,1
126,complete,shayne.chiasson@yahoo.com,1,2071.11,286.69,6,322,4,0,1,0,0,0,1,0,0,1,0,1
144,complete,laurene.vaillancourt@msn.com,1,49523.55,12243.85,78,251,13,0,0,1,0,1,0,0,0,0,1,4
163,complete,dong.simons@yahoo.com,1,9270.9,250,42,108,18,0,0,0,1,0,1,1,0,0,0,3
174,complete,leif.whitacre@ibm.com,1,4283.9,611.6,4,305,20,0,0,1,0,0,1,0,0,1,0,1
210,complete,cheyenne.caviness@hotmail.co.uk,1,13725.28,3100.82,19,180,4,0,0,1,0,1,0,1,0,0,0,3
225,complete,sofia.elrod@gmail.com,1,123133.94,3187.96,39,301,31,0,0,1,0,1,0,0,0,0,1,2
243,complete,jesus.mercer@msn.com,1,16399,412.8,15,198,22,0,0,0,1,0,1,0,0,1,0,3
248,complete,rudy.stumpf@gmail.com,1,90.18,10.02,1,272,17,0,0,0,1,0,1,0,0,1,0,1
251,complete,maryalice.rothermel@yahoo.com,1,14199.8,1600,5,268,6,0,0,1,0,1,0,0,1,0,0,3
256,complete,roland.bartlett@ibm.com,1,2961.84,248.46,16,93,14,0,0,0,1,0,1,1,0,0,0,1
282,complete,mohamed.mcavoy@ibm.com,1,41030.165,6744.735,42,282,12,0,0,1,0,0,1,0,0,1,0,0
299,complete,raleigh.renn@gmail.com,1,1126.652,315.773,11,227,23,0,0,0,1,0,1,0,0,1,0,1
329,complete,herschel.nott@gmail.com,1,705.898,80.002,13,168,6,0,0,1,0,0,1,0,1,0,0,1
353,complete,rochell.swarts@hotmail.com,1,934.38,173.82,1,374,20,0,0,1,0,1,0,0,0,0,1,1
380,complete,jimmy.cardwell@gmail.com,1,1977.92,95.58,12,227,24,0,1,0,0,0,1,0,0,1,0,1
459,complete,joelle.tincher@gmail.com,1,82093.464,13681.136,56,106,7,0,0,1,0,1,0,1,0,0,0,4
464,complete,eugene.polansky@aol.com,1,2906.636,1273.184,15,344,10,0,0,1,0,0,1,0,0,1,0,1
479,complete,johnathon.forster@hotmail.com,1,36863.38911,10908.85989,171,117,19,0,0,0,1,0,1,0,1,0,0,0
483,complete,rusty.mahn@yahoo.com,1,1065.923,341.477,21,383,11,0,0,0,1,0,1,0,0,1,0,1
500,complete,michel.glowacki@microsoft.com,1,18314.732,3149.468,25,106,10,0,1,0,0,0,1,0,0,1,0,3
514,complete,clement.rockey@comcast.net,1,3439.801,763.269,40,168,35,0,0,0,1,0,1,0,1,0,0,1
533,complete,augustus.look@exxonmobil.com,1,1505.97,327.93,3,376,5,0,0,1,0,0,1,0,0,0,1,1
550,complete,karin.camara@gmail.com,1,2519.965,494.235,13,173,18,0,0,1,0,1,0,1,0,0,0,1
553,complete,cruz.dorfman@hotmail.co.uk,1,5873.78,893.22,11,371,7,0,0,1,0,1,0,0,0,1,0,1
559,complete,erlinda.bleau@hotmail.co.uk,1,13695.655,2065.545,15,337,15,0,0,0,1,1,0,0,0,1,0,3
582,complete,kerry.farnum@hotmail.com,1,462.5,90,1,376,18,0,0,0,1,0,1,1,0,0,0,1
609,complete,rickie.nye@gmail.com,1,1938,342,3,412,16,0,0,0,1,1,0,0,0,1,0,1
685,complete,korey.torrez@gmail.com,1,10727.976,188.454,39,111,16,0,1,0,0,0,1,0,0,1,0,3
690,complete,curtis.dedrick@sbcglobal.net,1,9841.25,1872.45,13,357,20,0,0,1,0,0,1,0,0,0,1,3
719,complete,gregg.sheffield@hotmail.com,1,5865.298,675.602,9,198,12,0,1,0,0,0,1,1,0,0,0,1
753,complete,gianna.turek@bp.com,1,1013.64,130.66,9,106,7,0,1,0,0,1,0,1,0,0,0,1
766,complete,hermine.pauling@outlook.com,1,290.24,72.56,1,369,27,0,0,0,1,1,0,1,0,0,0,1
767,complete,antionette.lisk@yahoo.com,1,5070.81,1958.49,4,370,9,0,1,0,0,1,0,0,0,1,0,1
791,complete,magdalena.rosenbloom@walmart.com,1,970.95,175.15,5,365,6,0,0,0,1,1,0,0,0,1,0,1
798,complete,celsa.durden@gmail.com,1,16031.725,1788.275,23,105,8,0,0,1,0,1,0,0,0,0,1,3
815,complete,ezra.cappello@yahoo.co.uk,1,57132.125,11174.775,37,117,25,0,0,0,1,0,1,0,1,0,0,4
853,complete,jeramy.balog@cox.net,1,4756.444,320.006,31,207,5,0,0,1,0,0,1,0,0,1,0,1
1006,complete,floy.eldredge@yahoo.com,1,3490.015,252.185,32,166,26,0,0,0,1,1,0,1,0,0,0,1
1054,complete,glenn.blackstock@gmail.com,1,498.06,25.24,5,281,17,0,0,1,0,0,1,0,0,1,0,1
1075,complete,guillermo.haffner@yahoo.com,1,10353.22,1218.943,40,227,4,0,0,1,0,0,1,0,0,1,0,3
1187,complete,nichol.roache@yahoo.com,1,30713.241,5945.259,13,100,4,0,0,1,0,1,0,1,0,0,0,0
1290,complete,allen.labarbera@outlook.com,1,1098.36,242.04,3,369,37,0,0,1,0,1,0,0,0,1,0,1
1323,complete,nicole.nickles@gmail.com,1,23514.14,1752.36,26,327,17,0,0,1,0,1,0,0,0,0,1,0
1356,complete,kerry.weston@hotmail.com,1,1054.4,60,8,381,8,0,0,1,0,1,0,0,0,0,1,1
